count,visualization,task,right answer,vis name,task,ans cnt,1,2,3,4
1,LineChart,1,3,2015년 월간 유가 역사,2월 석유의 가격을 고르시오.,4,57.36(달러),47.82(달러),50.24(달러),39.72(달러)
2,LineChart,2,4,2015년 월간 유가 역사,석유 가격이 가장 낮은 달을 고르시오.,4,3월,5월,7월,12월
3,LineChart,3,4,2015년 월간 유가 역사,석유의 가격 범위를 고르시오.,4,35 - 65 (달러),48.36 - 60.95 (달러),37.04 - 48.36 (달러),37.04 - 60.95 (달러)
4,LineChart,4,2,2015년 월간 유가 역사,2015년 하반기 석유의 가격은 _____ 있다.,3,올라가고,내려가고,유지되고,
5,LineChart,5,2,2015년 월간 유가 역사,2015년 4월부터 8월까지 석유의 가격이 얼마나 떨어졌는지 고르시오.,4,4 (달러),15 (달러),17 (달러),45 (달러)
6,BarChart,1,3,아시아의 인터넷 평균 속도,일본의 인터넷 평균 속도를 고르시오.,4,10.5 (Mbps),14.5 (Mbps),15.5 (Mbps),16.5 (Mbps)
7,BarChart,2,3,아시아의 인터넷 평균 속도,아시아에서 인터넷 평균 속도가 가장 빠른 국가를 고르시오.,4,중국,홍콩,대한민국,베트남
8,BarChart,3,2,아시아의 인터넷 평균 속도,아시아의 인터넷 평균 속도 범위를 고르시오.,4,0 - 22 (Mbps),2 - 20.5 (Mbps),3 - 20 (Mbps),3.4 - 7.8 (Mbps)
9,BarChart,4,3,아시아의 인터넷 평균 속도,아시아에서 태국보다 인터넷 평균 속도가 느린 국가의 개수를 고르시오.,4,5,6,7,8
10,StackedBarChart,1,1,호텔의 룸서비스 비용,경기도의 견과류 가격을 고르시오.,4,12 (달러),16.7 (달러),23.4 (달러),35.4 (달러)
11,StackedBarChart,2,3,호텔의 룸서비스 비용,강원도의 총 룸서비스 비용에 대한 샌드위치 비용의 비율을 고르시오.,4,10 (%),20 (%),40 (%),60 (%)
12,StackedBarChart,3,4,호텔의 룸서비스 비용,콜라의 비용이 가장 높은 도시를 고르시오,4,서울,경기도,부산,대구
13,StackedBarChart,4,3,호텔의 룸서비스 비용,전 도시의 샌드위치 비용 범위를 고르시오,4,0 - 24.2 (달러),0 - 58.5 (달러),12.3 - 24.2 (달러),12.3 - 27.2 (달러)
14,StackedBarChart,5,2,호텔의 룸서비스 비용,경상남도의 주스 가격은 경기도보다 높다.,2,네,아니요,,
15,100StackedBarChart,1,2,교육 수준별 California State 선거 투표,대학원 연구하는 사람들 중 공화당의 지지율을 고르시오.,4,30 (%),35 (%),55 (%),60 (%)
16,100StackedBarChart,2,3,교육 수준별 California State 선거 투표,민주당의 지지율이 가장 낮은 사람들의 교육 수준을 고르시오.,4,고등학교 졸업 또는 이하,일부 대학 학위,대학교 졸업,대학원 연구
17,100StackedBarChart,3,2,교육 수준별 California State 선거 투표,일부 대학 학위의 교육 수준을 가진 사람들에 대한 공화당의 지지율은 대학원 연구 교육 수준을 가진 사람들보다 낮다,2,네,아니요,,
18,PieChart,1,2,스마트폰의 글로벌 시장 점유율,삼성 스마트폰의 글로벌 시장 점유율을 고르시오.,4,15 (%),25 (%),33 (%),50 (%)
19,PieChart,2,3,스마트폰의 글로벌 시장 점유율,스마트폰의 글로벌 시장 점유율이 가장 작은 회사를 고르시오.,4,애플,샤오미,레노버,기타
20,PieChart,3,1,스마트폰의 글로벌 시장 점유율,애플 스마트폰의 글로벌 시장 점유율은 화웨이보다 크다.,2,네,아니요,,
21,Historgram,1,2,택시 승객 등급,얼마나 많은 사람들이 택시를 4.0 - 4.2로 평가했는지 고르시오.,4,145 (명),153 (명),200 (명),240 (명)
22,Historgram,2,2,택시 승객 등급,사람들이 가장 많이 평가한 등급을 고르시오.,4,4.2 - 4.4,4.4 - 4.6,4.6 - 4.8,4.8 - 5.0
23,Historgram,3,1,택시 승객 등급,택시를 4.2 - 4.4 등급보다 4.6 - 4.8 등급으로 평가하는 사람들이 더 많다.,2,네,아니요,,
24,Scatterplot,1,3,85명의 남성의 키와 몸무게,키 164.9cm 인 사람의 몸무게를 고르시오.,4,53.9 (kg),67.7 (kg),70.3 (kg),82.7 (kg)
25,Scatterplot,2,3,85명의 남성의 키와 몸무게,85명의 남자 중 가장 키가 큰 사람의 키를 고르시오.,4,175.3 (cm),192 (cm),197.1 (cm),200 (cm)
26,Scatterplot,3,4,85명의 남성의 키와 몸무게,85명의 남성의 체중 범위를 고르시오.,4,40 - 130 (kg),62.3 - 90.9 (kg),53.9 - 102.3 (kg),53.9 - 123.6 (kg)
27,Scatterplot,4,2,85명의 남성의 키와 몸무게,85명의 남자 중 가장 무거운 사람의 키를 고르시오.,4,167.4 (cm),175.4 (cm),193 (cm),197.1 (cm)
28,Scatterplot,5,1,85명의 남성의 키와 몸무게,키 176cm이고 몸무게 70kg의 남성들이 그룹으로 모인다.,2,네,아니요,,
